"Response","Condition"
"18","LCL"
"18","HCL"
"18","LCL"
"18","HCL"
"19","LCL"
"20","LCL"
"19","HCL"
"19","LCL"
"18","HCL"
"18","LCL"
"18","LCL"
"23","HCL"
"21","LCL"
"19","HCL"
"18","LCL"
"19 jaar","HCL"
"19","LCL"
"21","HCL"
"23","LCL"
"18","HCL"
"19","LCL"
"18","LCL"
"19","HCL"
"19","HCL"
"42","LCL"
"19","LCL"
"19","HCL"
"19","LCL"
"19","HCL"
"18","HCL"
"18","LCL"
"19","LCL"
"18","HCL"
"17","HCL"
"20","LCL"
"18","LCL"
"18","HCL"
"18","HCL"
"18","LCL"
"18","LCL"
"19","HCL"
"22","HCL"
"18","LCL"
"20","HCL"
"18","HCL"
"18","LCL"
"19","LCL"
"19","LCL"
"48","HCL"
"18 jaar ","LCL"
"18","HCL"
"19","HCL"
"18","LCL"
"19","HCL"
"19","LCL"
"18","HCL"
"18","LCL"
"18","HCL"
"19","LCL"
"18","LCL"
"24","HCL"
"19","HCL"
"19","LCL"
"18","HCL"
"18","HCL"
"18","LCL"
"21","HCL"
"19","LCL"
"18","HCL"
"18","LCL"
"18","HCL"
"18","LCL"
"18","LCL"
"32","HCL"
"18","HCL"
"18","LCL"
"18","HCL"
"18","LCL"
"18","LCL"
"18","HCL"
"19","LCL"
"18","HCL"
"20","LCL"
"18","HCL"
"18","HCL"
"19","LCL"
"19","HCL"
"18","LCL"
"18","HCL"
"18","LCL"
"18","HCL"
"18","LCL"
"18","HCL"
"19","LCL"
"18","LCL"
"21","HCL"
"24","HCL"
"",NA
