"ï..Event.Index","UTC.Timestamp","UTC.Date","Local.Timestamp","Local.Timezone","Local.Date","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Public.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Task.Name","Task.Version","checkpoint.yiku","checkpoint.gn26","randomiser.2vg5","Randomise.questionnaire.elements.","Question.Key","Response"
"2",1644866675859,"14/02/2022 19:24:35",1644866676130,1,"14/02/2022 20:24:36",73265,15,"questionnaire-krgc",NA,19440661,"BLIND",5769634,"Intro Experiment: General explanations","complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 98.0.4758.82","1368x912","1351x782","Part 1 completed","VAS-f-1",2,"Part 1 completed",NA,"Accuracy_level_1","No","0",10
"3",1644866675993,"14/02/2022 19:24:35",1644866676131,1,"14/02/2022 20:24:36",73265,15,"questionnaire-krgc",NA,19440661,"BLIND",5769634,"Intro Experiment: General explanations","complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 98.0.4758.82","1368x912","1351x782","Part 1 completed","VAS-f-1",2,"Part 1 completed",NA,"Accuracy_level_1","No","1",7
"4",1644866675993,"14/02/2022 19:24:35",1644866676131,1,"14/02/2022 20:24:36",73265,15,"questionnaire-krgc",NA,19440661,"BLIND",5769634,"Intro Experiment: General explanations","complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 98.0.4758.82","1368x912","1351x782","Part 1 completed","VAS-f-1",2,"Part 1 completed",NA,"Accuracy_level_1","No","2",7
"5",1644866675993,"14/02/2022 19:24:35",1644866676132,1,"14/02/2022 20:24:36",73265,15,"questionnaire-krgc",NA,19440661,"BLIND",5769634,"Intro Experiment: General explanations","complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 98.0.4758.82","1368x912","1351x782","Part 1 completed","VAS-f-1",2,"Part 1 completed",NA,"Accuracy_level_1","No","3",6
"6",1644866675993,"14/02/2022 19:24:35",1644866676132,1,"14/02/2022 20:24:36",73265,15,"questionnaire-krgc",NA,19440661,"BLIND",5769634,"Intro Experiment: General explanations","complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 98.0.4758.82","1368x912","1351x782","Part 1 completed","VAS-f-1",2,"Part 1 completed",NA,"Accuracy_level_1","No","4",7
"7",1644866675993,"14/02/2022 19:24:35",1644866676133,1,"14/02/2022 20:24:36",73265,15,"questionnaire-krgc",NA,19440661,"BLIND",5769634,"Intro Experiment: General explanations","complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 98.0.4758.82","1368x912","1351x782","Part 1 completed","VAS-f-1",2,"Part 1 completed",NA,"Accuracy_level_1","No","5",6
"8",1644866675993,"14/02/2022 19:24:35",1644866676134,1,"14/02/2022 20:24:36",73265,15,"questionnaire-krgc",NA,19440661,"BLIND",5769634,"Intro Experiment: General explanations","complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 98.0.4758.82","1368x912","1351x782","Part 1 completed","VAS-f-1",2,"Part 1 completed",NA,"Accuracy_level_1","No","6",3
"9",1644866675993,"14/02/2022 19:24:35",1644866676134,1,"14/02/2022 20:24:36",73265,15,"questionnaire-krgc",NA,19440661,"BLIND",5769634,"Intro Experiment: General explanations","complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 98.0.4758.82","1368x912","1351x782","Part 1 completed","VAS-f-1",2,"Part 1 completed",NA,"Accuracy_level_1","No","7",3
"10",1644866675993,"14/02/2022 19:24:35",1644866676134,1,"14/02/2022 20:24:36",73265,15,"questionnaire-krgc",NA,19440661,"BLIND",5769634,"Intro Experiment: General explanations","complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 98.0.4758.82","1368x912","1351x782","Part 1 completed","VAS-f-1",2,"Part 1 completed",NA,"Accuracy_level_1","No","8",3
"11",1644866675993,"14/02/2022 19:24:35",1644866676134,1,"14/02/2022 20:24:36",73265,15,"questionnaire-krgc",NA,19440661,"BLIND",5769634,"Intro Experiment: General explanations","complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 98.0.4758.82","1368x912","1351x782","Part 1 completed","VAS-f-1",2,"Part 1 completed",NA,"Accuracy_level_1","No","9",1
"12",1644866675993,"14/02/2022 19:24:35",1644866676134,1,"14/02/2022 20:24:36",73265,15,"questionnaire-krgc",NA,19440661,"BLIND",5769634,"Intro Experiment: General explanations","complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 98.0.4758.82","1368x912","1351x782","Part 1 completed","VAS-f-1",2,"Part 1 completed",NA,"Accuracy_level_1","No","10",6
