Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,accuracy_pic_trial,accuracy,trial_dur,match,accuracy_color_trial,prop_correct,minutes,,accuracy_percentage,phase,correct_resp,correct_response
1,1647007433684,11/03/2022 14:03:53,1647007433546,1,11/03/2022 15:03:53,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,,,,,fullscreen,0,11688,0.0-0.0,,,,,,,,,,,,,
2,1647007454571,11/03/2022 14:04:14,1647007454454,1,11/03/2022 15:04:14,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,20902.299999952316,,,,,instructions,1,32597,0.0-1.0,,,,,,,,,2022-03-11T14:04:14.454Z,[1],test,,
3,1647007456036,11/03/2022 14:04:16,1647007455960,1,11/03/2022 15:04:15,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,947.6999998092651,/task/320432/9/asset/elephant.jpg,,,f,image-keyboard-response,2,34103,0.0-2.0-0.0,,1,1,1500,,,0.7,,,,test,,f
4,1647007457542,11/03/2022 14:04:17,1647007457464,1,11/03/2022 15:04:17,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,/task/320432/9/asset/black.png,,, ,image-keyboard-response,3,35607,0.0-2.0-2.0,,,,1500,1,,0.35,0.05015,,,test,, 
5,1647007459063,11/03/2022 14:04:19,1647007458968,1,11/03/2022 15:04:18,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,753.7000000476837,/task/320432/9/asset/pear.jpg,,,j,image-keyboard-response,4,37112,0.0-2.0-0.1,,1,1,1500,,,0.4666666666666666,,,,test,,j
6,1647007460923,11/03/2022 14:04:20,1647007460473,1,11/03/2022 15:04:20,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,403.7000000476837,/task/320432/9/asset/black.png,,, ,image-keyboard-response,5,38616,0.0-2.0-2.1,,,1,1500,1,1,0.675,0.10031666666666667,,,test,, 
7,1647007462085,11/03/2022 14:04:22,1647007462007,1,11/03/2022 15:04:22,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,606.5999999046326,/task/320432/9/asset/pear.jpg,,,j,image-keyboard-response,6,40150,0.0-2.0-0.2,,1,1,1530,,,0.68,,,,test,,j
8,1647007463660,11/03/2022 14:04:23,1647007463573,1,11/03/2022 15:04:23,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,784.7000000476837,/task/320432/9/asset/black.png,,, ,image-keyboard-response,7,41716,0.0-2.0-2.2,,,1,1560,1,1,0.7833333333333333,0.15198333333333333,,,test,, 
9,1647007465253,11/03/2022 14:04:25,1647007465166,1,11/03/2022 15:04:25,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,614.7000000476837,/task/320432/9/asset/elephant.jpg,,,f,image-keyboard-response,8,43310,0.0-2.0-0.3,,1,1,1590,,,0.7714285714285715,,,,test,,f
10,1647007466878,11/03/2022 14:04:26,1647007466791,1,11/03/2022 15:04:26,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,488.90000009536743,/task/320432/9/asset/black.png,,, ,image-keyboard-response,9,44935,0.0-2.0-2.3,,,1,1620,1,1,0.8374999999999999,0.20561666666666667,,,test,, 
