Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
1,1644936707049,15/02/2022 14:51:47,1644936712248,1,15/02/2022 15:51:52,73265,15,task-3l6b,,19462926,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1644936712290,15/02/2022 14:51:52,1644936717488,1,15/02/2022 15:51:57,73265,15,task-3l6b,,19462926,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,5111.9000000003725,,,,,0,1,0,,,,,,instructions,,,
3,1644936719276,15/02/2022 14:51:59,1644936724468,1,15/02/2022 15:52:04,73265,15,task-3l6b,,19462926,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,31,1,1,Screen 1,Zone1,timelimit_screen,6995.214999999999,,,,,0,1,0,,,1,,1,demonstration,7000,250,
4,1644936719654,15/02/2022 14:51:59,1644936724864,1,15/02/2022 15:52:04,73265,15,task-3l6b,,19462926,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,31,1,2,Screen 2,advancementZone,response_keyboard_single,368,,,spacebar,1,0,1,0,,,,,1,demonstration,7000,250,
5,1644936720733,15/02/2022 14:52:00,1644936725861,1,15/02/2022 15:52:05,73265,15,task-3l6b,,19462926,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,31,1,3,Screen 3,advancementZone,timelimit_screen,1001.7620000000006,,,,,0,1,0,,,1,,1,demonstration,7000,250,
6,1644936720885,15/02/2022 14:52:00,1644936726109,1,15/02/2022 15:52:06,73265,15,task-3l6b,,19462926,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,31,1,5,end,Zone1,timelimit_screen,250.3259999999991,,,,,0,1,0,,,1,,1,demonstration,7000,250,
7,1644936721901,15/02/2022 14:52:01,1644936727114,1,15/02/2022 15:52:07,73265,15,task-3l6b,,19462926,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,23,2,1,Screen 1,Zone1,timelimit_screen,1001.7970000000005,,,,,0,1,0,,,1,,1,demonstration,1000,250,
8,1644936722423,15/02/2022 14:52:02,1644936727643,1,15/02/2022 15:52:07,73265,15,task-3l6b,,19462926,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,23,2,2,Screen 2,advancementZone,response_keyboard_single,490.8999999985099,,,spacebar,1,0,1,0,,,,,1,demonstration,1000,250,
9,1644936723420,15/02/2022 14:52:03,1644936728632,1,15/02/2022 15:52:08,73265,15,task-3l6b,,19462926,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,23,2,3,Screen 3,advancementZone,timelimit_screen,1001.6410000000014,,,,,0,1,0,,,1,,1,demonstration,1000,250,
10,1644936723670,15/02/2022 14:52:03,1644936728883,1,15/02/2022 15:52:08,73265,15,task-3l6b,,19462926,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,23,2,5,end,Zone1,timelimit_screen,250.79399999999805,,,,,0,1,0,,,1,,1,demonstration,1000,250,
