Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
1,1645127834983,17/02/2022 19:57:14,1645127834876,1,17/02/2022 20:57:14,73265,15,task-5too,,19550247,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1645127840488,17/02/2022 19:57:20,1645127840419,1,17/02/2022 20:57:20,73265,15,task-5too,,19550247,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,5513,,,,,0,1,0,,,,,,instructions,,,
3,1645127846612,17/02/2022 19:57:26,1645127846407,1,17/02/2022 20:57:26,73265,15,task-5too,,19550247,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,17,1,1,Screen 1,Zone1,timelimit_screen,6005,,,,,0,1,0,,,1,,1,demonstration,6000,250,
4,1645127846838,17/02/2022 19:57:26,1645127846778,1,17/02/2022 20:57:26,73265,15,task-5too,,19550247,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,17,1,2,Screen 2,advancementZone,response_keyboard_single,362,,,spacebar,1,0,1,0,,,,,1,demonstration,6000,250,
5,1645127847806,17/02/2022 19:57:27,1645127847774,1,17/02/2022 20:57:27,73265,15,task-5too,,19550247,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,17,1,3,Screen 3,advancementZone,timelimit_screen,1001,,,,,0,1,0,,,1,,1,demonstration,6000,250,
6,1645127848064,17/02/2022 19:57:28,1645127848024,1,17/02/2022 20:57:28,73265,15,task-5too,,19550247,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,17,1,5,end,Zone1,timelimit_screen,249,,,,,0,1,0,,,1,,1,demonstration,6000,250,
7,1645127849860,17/02/2022 19:57:29,1645127849790,1,17/02/2022 20:57:29,73265,15,task-5too,,19550247,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,24,2,1,Screen 1,advancementZone,response_keyboard_single,1747,,,spacebar,1,1,0,0,,,,,1,demonstration,4000,250,
8,1645127850622,17/02/2022 19:57:30,1645127850587,1,17/02/2022 20:57:30,73265,15,task-5too,,19550247,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,24,2,4,warning,advancementZone,continue_button,788,,,,,0,1,0,,,,,1,demonstration,4000,250,
9,1645127850872,17/02/2022 19:57:30,1645127850826,1,17/02/2022 20:57:30,73265,15,task-5too,,19550247,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,24,2,5,end,Zone1,timelimit_screen,249,,,,,0,1,0,,,1,,1,demonstration,4000,250,
10,1645127853872,17/02/2022 19:57:33,1645127853831,1,17/02/2022 20:57:33,73265,15,task-5too,,19550247,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,15,3,1,Screen 1,Zone1,timelimit_screen,3005,,,,,0,1,0,,,1,,1,demonstration,3000,250,
11,1645127854241,17/02/2022 19:57:34,1645127854191,1,17/02/2022 20:57:34,73265,15,task-5too,,19550247,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x900,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,15,3,2,Screen 2,advancementZone,response_keyboard_single,352.00000000000364,,,spacebar,1,0,1,0,,,,,1,demonstration,3000,250,
