Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
1,1644486320317,10/02/2022 09:45:20,1644486320651,1,10/02/2022 10:45:20,73265,15,task-82mr,,19331241,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1644486333728,10/02/2022 09:45:33,1644486334099,1,10/02/2022 10:45:34,73265,15,task-82mr,,19331241,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,13381,,,,,0,1,0,,,,,,instructions,,,
3,1644486337699,10/02/2022 09:45:37,1644486338099,1,10/02/2022 10:45:38,73265,15,task-82mr,,19331241,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,14,1,1,Screen 1,Zone1,timelimit_screen,3994.1409999999996,,,,,0,1,0,,,1,,1,demonstration,4000,250,
4,1644486338093,10/02/2022 09:45:38,1644486338491,1,10/02/2022 10:45:38,73265,15,task-82mr,,19331241,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,14,1,2,Screen 2,advancementZone,response_keyboard_single,382.39999997615814,,,spacebar,1,0,1,0,,,,,1,demonstration,4000,250,
5,1644486339084,10/02/2022 09:45:39,1644486339486,1,10/02/2022 10:45:39,73265,15,task-82mr,,19331241,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,14,1,3,Screen 3,advancementZone,timelimit_screen,1002.6599999999999,,,,,0,1,0,,,1,,1,demonstration,4000,250,
6,1644486339348,10/02/2022 09:45:39,1644486339736,1,10/02/2022 10:45:39,73265,15,task-82mr,,19331241,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,14,1,5,end,Zone1,timelimit_screen,250.66499999999724,,,,,0,1,0,,,1,,1,demonstration,4000,250,
7,1644486341334,10/02/2022 09:45:41,1644486341743,1,10/02/2022 10:45:41,73265,15,task-82mr,,19331241,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,22,2,1,Screen 1,Zone1,timelimit_screen,2005.3199999999997,,,,,0,1,0,,,1,,1,demonstration,2000,250,
8,1644486341706,10/02/2022 09:45:41,1644486342102,1,10/02/2022 10:45:42,73265,15,task-82mr,,19331241,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,22,2,2,Screen 2,advancementZone,response_keyboard_single,347.89999997615814,,,spacebar,1,0,1,0,,,,,1,demonstration,2000,250,
9,1644486342694,10/02/2022 09:45:42,1644486343096,1,10/02/2022 10:45:43,73265,15,task-82mr,,19331241,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,22,2,3,Screen 3,advancementZone,timelimit_screen,1002.6599999999999,,,,,0,1,0,,,1,,1,demonstration,2000,250,
10,1644486342941,10/02/2022 09:45:42,1644486343346,1,10/02/2022 10:45:43,73265,15,task-82mr,,19331241,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,22,2,5,end,Zone1,timelimit_screen,250.66500000000087,,,,,0,1,0,,,1,,1,demonstration,2000,250,
11,1644486352935,10/02/2022 09:45:52,1644486353340,1,10/02/2022 10:45:53,73265,15,task-82mr,,19331241,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,20,3,1,Screen 1,Zone1,timelimit_screen,9993.178000000004,,,,,0,1,0,,,1,,1,demonstration,10000,250,
12,1644486353284,10/02/2022 09:45:53,1644486353688,1,10/02/2022 10:45:53,73265,15,task-82mr,,19331241,BLIND,5735237,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 97.0.4692.99,1440x900,1440x789,Part 1 completed,PVT-2,9,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,20,3,2,Screen 2,advancementZone,response_keyboard_single,335.6999999284744,,,spacebar,1,0,1,0,,,,,1,demonstration,10000,250,
