Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
1,1645022079867,16/02/2022 14:34:39,1645022079762,1,16/02/2022 15:34:39,73265,15,task-dt2v,,19496898,BLIND,5769313,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1645022081071,16/02/2022 14:34:41,1645022081018,1,16/02/2022 15:34:41,73265,15,task-dt2v,,19496898,BLIND,5769313,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1232.0000000000002,,,,,0,1,0,,,,,,instructions,,,
3,1645022082122,16/02/2022 14:34:42,1645022082007,1,16/02/2022 15:34:42,73265,15,task-dt2v,,19496898,BLIND,5769313,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,23,1,1,Screen 1,Zone1,timelimit_screen,1000,,,,,0,1,0,,,1,,1,demonstration,1000,250,
4,1645022082497,16/02/2022 14:34:42,1645022082431,1,16/02/2022 15:34:42,73265,15,task-dt2v,,19496898,BLIND,5769313,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,23,1,2,Screen 2,advancementZone,response_keyboard_single,416.99999999999955,,,spacebar,1,0,1,0,,,,,1,demonstration,1000,250,
5,1645022083496,16/02/2022 14:34:43,1645022083418,1,16/02/2022 15:34:43,73265,15,task-dt2v,,19496898,BLIND,5769313,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,23,1,3,Screen 3,advancementZone,timelimit_screen,1001,,,,,0,1,0,,,1,,1,demonstration,1000,250,
6,1645022083742,16/02/2022 14:34:43,1645022083668,1,16/02/2022 15:34:43,73265,15,task-dt2v,,19496898,BLIND,5769313,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,23,1,5,end,Zone1,timelimit_screen,250,,,,,0,1,0,,,1,,1,demonstration,1000,250,
7,1645022088725,16/02/2022 14:34:48,1645022088670,1,16/02/2022 15:34:48,73265,15,task-dt2v,,19496898,BLIND,5769313,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,26,2,1,Screen 1,Zone1,timelimit_screen,5000,,,,,0,1,0,,,1,,1,demonstration,5000,250,
8,1645022089052,16/02/2022 14:34:49,1645022089005,1,16/02/2022 15:34:49,73265,15,task-dt2v,,19496898,BLIND,5769313,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,26,2,2,Screen 2,advancementZone,response_keyboard_single,323.0000000000018,,,spacebar,1,0,1,0,,,,,1,demonstration,5000,250,
9,1645022090056,16/02/2022 14:34:50,1645022090002,1,16/02/2022 15:34:50,73265,15,task-dt2v,,19496898,BLIND,5769313,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,26,2,3,Screen 3,advancementZone,timelimit_screen,1000,,,,,0,1,0,,,1,,1,demonstration,5000,250,
10,1645022090291,16/02/2022 14:34:50,1645022090252,1,16/02/2022 15:34:50,73265,15,task-dt2v,,19496898,BLIND,5769313,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,26,2,5,end,Zone1,timelimit_screen,250,,,,,0,1,0,,,1,,1,demonstration,5000,250,
