Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,match,phase,correct_resp,prop_correct,accuracy_color_trial,minutes
1,1644859928103,14/02/2022 17:32:08,1644859926076,1,14/02/2022 18:32:06,73265,15,task-fatb,,19437747,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1536x754,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,19176.699999999255,,,,,instructions,0,19182,0.0-0.0,,,,,,,
2,1644859928208,14/02/2022 17:32:08,1644859926215,1,14/02/2022 18:32:06,73265,15,task-fatb,,19437747,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1536x754,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,1,19321,0.0-1.0-0.0,,,,,,,
3,1644859929682,14/02/2022 17:32:09,1644859927725,1,14/02/2022 18:32:07,73265,15,task-fatb,,19437747,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1536x754,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,/task/320040/6/asset/green.png,,,,image-keyboard-response,2,20831,0.0-1.0-1.0,,1,test, ,0,,0.027483333333333332
4,1644859929802,14/02/2022 17:32:09,1644859927832,1,14/02/2022 18:32:07,73265,15,task-fatb,,19437747,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1536x754,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,3,20939,0.0-1.0-0.1,,,,,,,
5,1644859931314,14/02/2022 17:32:11,1644859929338,1,14/02/2022 18:32:09,73265,15,task-fatb,,19437747,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1536x754,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,/task/320040/6/asset/pink.png,,,,image-keyboard-response,4,22445,0.0-1.0-1.1,,,test,,0.43333333333333335,1,0.05436666666666667
6,1644859931443,14/02/2022 17:32:11,1644859929451,1,14/02/2022 18:32:09,73265,15,task-fatb,,19437747,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1536x754,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,5,22558,0.0-1.0-0.2,,,,,,,
7,1644859932939,14/02/2022 17:32:12,1644859930962,1,14/02/2022 18:32:10,73265,15,task-fatb,,19437747,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1536x754,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,/task/320040/6/asset/blue.png,,,,image-keyboard-response,6,24069,0.0-1.0-1.2,,,test,,0.52,1,0.08143333333333333
8,1644859933036,14/02/2022 17:32:13,1644859931073,1,14/02/2022 18:32:11,73265,15,task-fatb,,19437747,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1536x754,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,7,24180,0.0-1.0-0.3,,,,,,,
9,1644859934565,14/02/2022 17:32:14,1644859932578,1,14/02/2022 18:32:12,73265,15,task-fatb,,19437747,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1536x754,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,/task/320040/6/asset/pink.png,,,,image-keyboard-response,8,25685,0.0-1.0-1.3,,,test,,0.5571428571428572,1,0.10836666666666667
10,1644859934662,14/02/2022 17:32:14,1644859932695,1,14/02/2022 18:32:12,73265,15,task-fatb,,19437747,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1536x754,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,9,25801,0.0-1.0-0.4,,,,,,,
