Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,match,phase,correct_resp,prop_correct,accuracy_color_trial,minutes
1,1645127471204,17/02/2022 19:51:11,1645127471079,1,17/02/2022 20:51:11,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,19568,,,,,instructions,0,19573,0.0-0.0,,,,,,,
2,1645127471298,17/02/2022 19:51:11,1645127471186,1,17/02/2022 20:51:11,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,1,19681,0.0-1.0-0.0,,,,,,,
3,1645127472726,17/02/2022 19:51:12,1645127472691,1,17/02/2022 20:51:12,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,1062,/task/320041/5/asset/elephant.jpg,,,f,image-keyboard-response,2,21185,0.0-1.0-1.0,,,test,,-0.175,,0.026866666666666667
4,1645127472836,17/02/2022 19:51:12,1645127472796,1,17/02/2022 20:51:12,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,3,21291,0.0-1.0-0.1,,,,,,,
5,1645127474345,17/02/2022 19:51:14,1645127474302,1,17/02/2022 20:51:14,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,800,/task/320041/5/asset/house.jpg,,,f,image-keyboard-response,4,22796,0.0-1.0-1.1,,,test,,-0.7,,0.05371666666666667
6,1645127474454,17/02/2022 19:51:14,1645127474407,1,17/02/2022 20:51:14,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,5,22901,0.0-1.1-0.2,,,,,,,
7,1645127475955,17/02/2022 19:51:15,1645127475912,1,17/02/2022 20:51:15,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,774,/task/320041/5/asset/comb.jpg,,,j,image-keyboard-response,6,24406,0.0-1.1-1.2,,,test,,,,0.08055
8,1645127476042,17/02/2022 19:51:16,1645127476016,1,17/02/2022 20:51:16,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,7,24511,0.0-1.1-0.3,,,,,,,
9,1645127477574,17/02/2022 19:51:17,1645127477521,1,17/02/2022 20:51:17,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,/task/320041/5/asset/key.png,,,j,image-keyboard-response,8,26016,0.0-1.1-1.3,,,test,,1.05,,0.10736666666666667
10,1645127477761,17/02/2022 19:51:17,1645127477726,1,17/02/2022 20:51:17,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,"<span style=""color:red;font-size:50px;font-weight: bold;"">FOUT!</span>",,,,html-keyboard-response,9,26221,0.0-1.1-2.3-0.3,,,,,,,
11,1645127477870,17/02/2022 19:51:17,1645127477831,1,17/02/2022 20:51:17,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,10,26326,0.0-1.2-0.4,,,,,,,
12,1645127479389,17/02/2022 19:51:19,1645127479348,1,17/02/2022 20:51:19,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,1225,/task/320041/5/asset/house.jpg,,,f,image-keyboard-response,11,27843,0.0-1.2-1.4,,,test,,0.5599999999999999,,0.13781666666666667
13,1645127479499,17/02/2022 19:51:19,1645127479452,1,17/02/2022 20:51:19,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,12,27947,0.0-1.2-0.5,,,,,,,
14,1645127480992,17/02/2022 19:51:20,1645127480957,1,17/02/2022 20:51:20,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,930,/task/320041/5/asset/house.jpg,,,f,image-keyboard-response,13,29451,0.0-1.2-1.5,,,test,,0.5,,0.16463333333333333
15,1645127481107,17/02/2022 19:51:21,1645127481061,1,17/02/2022 20:51:21,73265,15,task-mxe3,,19549994,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,14,29556,0.0-1.3-0.6,,,,,,,
