Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
1,1646659063626,07/03/2022 13:17:43,1646659061038,1,07/03/2022 14:17:41,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1646659082022,07/03/2022 13:18:02,1646659079457,1,07/03/2022 14:17:59,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,18379.30000001192,,,,,0,1,0,,,,,,instructions,,,
3,1646659088001,07/03/2022 13:18:08,1646659085452,1,07/03/2022 14:18:05,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,17,1,1,Screen 1,Zone1,timelimit_screen,5999.760000000002,,,,,0,1,0,,,1,,1,demonstration,6000,250,
4,1646659088320,07/03/2022 13:18:08,1646659085784,1,07/03/2022 14:18:05,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,17,1,2,Screen 2,advancementZone,response_keyboard_single,326.80000001192093,,,spacebar,1,0,1,0,,,,,1,demonstration,6000,250,
5,1646659089320,07/03/2022 13:18:09,1646659086776,1,07/03/2022 14:18:06,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,17,1,3,Screen 3,advancementZone,timelimit_screen,999.9599999999991,,,,,0,1,0,,,1,,1,demonstration,6000,250,
6,1646659089570,07/03/2022 13:18:09,1646659087026,1,07/03/2022 14:18:07,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,17,1,5,end,Zone1,timelimit_screen,249.98999999999796,,,,,0,1,0,,,1,,1,demonstration,6000,250,
7,1646659096577,07/03/2022 13:18:16,1646659094026,1,07/03/2022 14:18:14,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,21,2,1,Screen 1,Zone1,timelimit_screen,6999.720000000005,,,,,0,1,0,,,1,,1,demonstration,7000,250,
8,1646659096897,07/03/2022 13:18:16,1646659094360,1,07/03/2022 14:18:14,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,21,2,2,Screen 2,advancementZone,response_keyboard_single,327.89999997615814,,,spacebar,1,0,1,0,,,,,1,demonstration,7000,250,
9,1646659097899,07/03/2022 13:18:17,1646659095359,1,07/03/2022 14:18:15,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,21,2,3,Screen 3,advancementZone,timelimit_screen,999.9599999999991,,,,,0,1,0,,,1,,1,demonstration,7000,250,
10,1646659098150,07/03/2022 13:18:18,1646659095609,1,07/03/2022 14:18:15,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,21,2,5,end,Zone1,timelimit_screen,249.98999999999796,,,,,0,1,0,,,1,,1,demonstration,7000,250,
11,1646659101137,07/03/2022 13:18:21,1646659098608,1,07/03/2022 14:18:18,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,25,3,1,Screen 1,Zone1,timelimit_screen,2999.8799999999974,,,,,0,1,0,,,1,,1,demonstration,3000,250,
12,1646659101503,07/03/2022 13:18:21,1646659098961,1,07/03/2022 14:18:18,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,25,3,2,Screen 2,advancementZone,response_keyboard_single,347.2000000476837,,,spacebar,1,0,1,0,,,,,1,demonstration,3000,250,
13,1646659102503,07/03/2022 13:18:22,1646659099959,1,07/03/2022 14:18:19,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,25,3,3,Screen 3,advancementZone,timelimit_screen,999.9599999999991,,,,,0,1,0,,,1,,1,demonstration,3000,250,
14,1646659102748,07/03/2022 13:18:22,1646659100208,1,07/03/2022 14:18:20,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,25,3,5,end,Zone1,timelimit_screen,249.98999999999796,,,,,0,1,0,,,1,,1,demonstration,3000,250,
15,1646659103739,07/03/2022 13:18:23,1646659101209,1,07/03/2022 14:18:21,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,3,4,1,Screen 1,Zone1,timelimit_screen,999.9599999999991,,,,,0,1,0,,,1,,1,demonstration,1000,250,
16,1646659104356,07/03/2022 13:18:24,1646659101830,1,07/03/2022 14:18:21,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,3,4,2,Screen 2,advancementZone,response_keyboard_single,615.8000000119209,,,spacebar,1,0,1,0,,,,,1,demonstration,1000,250,
17,1646659105369,07/03/2022 13:18:25,1646659102825,1,07/03/2022 14:18:22,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,3,4,3,Screen 3,advancementZone,timelimit_screen,999.9599999999991,,,,,0,1,0,,,1,,1,demonstration,1000,250,
18,1646659105614,07/03/2022 13:18:25,1646659103075,1,07/03/2022 14:18:23,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,3,4,5,end,Zone1,timelimit_screen,249.99000000000524,,,,,0,1,0,,,1,,1,demonstration,1000,250,
19,1646659113610,07/03/2022 13:18:33,1646659111076,1,07/03/2022 14:18:31,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,38,5,1,Screen 1,Zone1,timelimit_screen,7999.68,,,,,0,1,0,,,1,,1,demonstration,8000,250,
20,1646659113937,07/03/2022 13:18:33,1646659111393,1,07/03/2022 14:18:31,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,38,5,2,Screen 2,advancementZone,response_keyboard_single,311.80000001192093,,,spacebar,1,0,1,0,,,,,1,demonstration,8000,250,
21,1646659114930,07/03/2022 13:18:34,1646659112392,1,07/03/2022 14:18:32,73265,15,task-ofgl,,20143470,BLIND,5973055,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.102,1440x900,1440x821,Part 1 completed,PVT-2,9,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,38,5,3,Screen 3,advancementZone,timelimit_screen,999.9599999999991,,,,,0,1,0,,,1,,1,demonstration,8000,250,
