Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,match,phase,correct_resp,prop_correct,accuracy_color_trial,minutes
1,1644954919406,15/02/2022 19:55:19,1644954919263,1,15/02/2022 20:55:19,73265,15,task-onds,,19475862,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x848,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,53357,,,,,instructions,0,53360,0.0-0.0,,,,,,,
2,1644954919500,15/02/2022 19:55:19,1644954919369,1,15/02/2022 20:55:19,73265,15,task-onds,,19475862,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x848,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,1,53467,0.0-1.0-0.0,,,,,,,
3,1644954920968,15/02/2022 19:55:20,1644954920876,1,15/02/2022 20:55:20,73265,15,task-onds,,19475862,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x848,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,/task/320041/5/asset/key.png,,,j,image-keyboard-response,2,54973,0.0-1.0-1.0,,,test,,0,,0.0269
4,1644954921062,15/02/2022 19:55:21,1644954920981,1,15/02/2022 20:55:20,73265,15,task-onds,,19475862,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x848,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,3,55079,0.0-1.0-0.1,,,,,,,
5,1644954922552,15/02/2022 19:55:22,1644954922486,1,15/02/2022 20:55:22,73265,15,task-onds,,19475862,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x848,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,/task/320041/5/asset/key.png,,,j,image-keyboard-response,4,56583,0.0-1.0-1.1,,,test,,0,,0.053733333333333334
6,1644954922646,15/02/2022 19:55:22,1644954922592,1,15/02/2022 20:55:22,73265,15,task-onds,,19475862,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x848,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,5,56690,0.0-1.1-0.2,,,,,,,
7,1644954924163,15/02/2022 19:55:24,1644954924098,1,15/02/2022 20:55:24,73265,15,task-onds,,19475862,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x848,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,684,/task/320041/5/asset/truck.jpg,,,f,image-keyboard-response,6,58196,0.0-1.1-1.2,,,test,,,,0.0806
8,1644954924256,15/02/2022 19:55:24,1644954924204,1,15/02/2022 20:55:24,73265,15,task-onds,,19475862,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x848,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,7,58301,0.0-1.1-0.3,,,,,,,
9,1644954925772,15/02/2022 19:55:25,1644954925710,1,15/02/2022 20:55:25,73265,15,task-onds,,19475862,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x848,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,433,/task/320041/5/asset/truck.jpg,,,f,image-keyboard-response,8,59808,0.0-1.1-1.3,,,test,,0.7,,0.10746666666666667
10,1644954925866,15/02/2022 19:55:25,1644954925815,1,15/02/2022 20:55:25,73265,15,task-onds,,19475862,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x848,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,9,59913,0.0-1.2-0.4,,,,,,,
