Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,accuracy_pic_trial,accuracy,trial_dur,match,accuracy_color_trial,prop_correct,minutes,,accuracy_percentage,phase,correct_resp,correct_response
1,1644955099102,15/02/2022 19:58:19,1644955098764,1,15/02/2022 20:58:18,73265,15,task-v1am,,19475958,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,,,,,fullscreen,0,49960,0.0-0.0,,,,,,,,,,,,,
2,1644955125723,15/02/2022 19:58:45,1644955125663,1,15/02/2022 20:58:45,73265,15,task-v1am,,19475958,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,26896,,,,,instructions,1,76860,0.0-1.0,,,,,,,,,2022-02-15T19:58:45.663Z,[1],test,,
3,1644955127271,15/02/2022 19:58:47,1644955127170,1,15/02/2022 20:58:47,73265,15,task-v1am,,19475958,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,910,/task/320432/9/asset/house.jpg,,,f,image-keyboard-response,2,78366,0.0-2.0-0.0,,1,1,1500,,,0.7,,,,test,,f
4,1644955128750,15/02/2022 19:58:48,1644955128677,1,15/02/2022 20:58:48,73265,15,task-v1am,,19475958,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,/task/320432/9/asset/white.png,,,,image-keyboard-response,3,79873,0.0-2.0-2.0,,,1,1500,,1,1,0.05023333333333333,,,test,,
5,1644955130250,15/02/2022 19:58:50,1644955130184,1,15/02/2022 20:58:50,73265,15,task-v1am,,19475958,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,1050,/task/320432/9/asset/truck.jpg,,,f,image-keyboard-response,4,81380,0.0-2.0-0.1,,1,1,1500,,,0.9,,,,test,,f
6,1644955131744,15/02/2022 19:58:51,1644955131691,1,15/02/2022 20:58:51,73265,15,task-v1am,,19475958,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,/task/320432/9/asset/blue.png,,,,image-keyboard-response,5,82887,0.0-2.0-2.1,,,1,1500,,1,1,0.10046666666666666,,,test,,
7,1644955133280,15/02/2022 19:58:53,1644955133197,1,15/02/2022 20:58:53,73265,15,task-v1am,,19475958,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,810,/task/320432/9/asset/key.jpg,,,j,image-keyboard-response,6,84394,0.0-2.0-0.2,,1,1,1500,,,0.9400000000000001,,,,test,,j
8,1644955134797,15/02/2022 19:58:54,1644955134735,1,15/02/2022 20:58:54,73265,15,task-v1am,,19475958,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,740,/task/320432/9/asset/blue.png,,, ,image-keyboard-response,7,85932,0.0-2.0-2.2,,,1,1530,1,1,1,0.1512,,,test,, 
9,1644955136373,15/02/2022 19:58:56,1644955136273,1,15/02/2022 20:58:56,73265,15,task-v1am,,19475958,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,580,/task/320432/9/asset/house.jpg,,,f,image-keyboard-response,8,87469,0.0-2.0-0.3,,1,1,1530,,,0.9571428571428571,,,,test,,f
10,1644955137897,15/02/2022 19:58:57,1644955137840,1,15/02/2022 20:58:57,73265,15,task-v1am,,19475958,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,/task/320432/9/asset/green.png,,,,image-keyboard-response,9,89036,0.0-2.0-2.3,,,1,1560,,1,1,0.20295,,,test,,
