Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,match,phase,correct_resp,prop_correct,accuracy_color_trial,minutes
1,1644855266527,14/02/2022 16:14:26,1644855266413,1,14/02/2022 17:14:26,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,34864.00000000001,,,,,instructions,0,34867,0.0-0.0,,,,,,,
2,1644855266650,14/02/2022 16:14:26,1644855266523,1,14/02/2022 17:14:26,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,1,34978,0.0-1.0-0.0,,,,,,,
3,1644855268134,14/02/2022 16:14:28,1644855268030,1,14/02/2022 17:14:28,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,/task/320041/5/asset/plane.jpg,,,f,image-keyboard-response,2,36484,0.0-1.0-1.0,,,test,,0,,0.02695
4,1644855268260,14/02/2022 16:14:28,1644855268137,1,14/02/2022 17:14:28,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,3,36591,0.0-1.0-0.1,,,,,,,
5,1644855269714,14/02/2022 16:14:29,1644855269641,1,14/02/2022 17:14:29,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,628,/task/320041/5/asset/truck.jpg,,,f,image-keyboard-response,4,38096,0.0-1.0-1.1,,,test,,-0.35,,0.0538
6,1644855269823,14/02/2022 16:14:29,1644855269748,1,14/02/2022 17:14:29,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,5,38203,0.0-1.1-0.2,,,,,,,
7,1644855271338,14/02/2022 16:14:31,1644855271261,1,14/02/2022 17:14:31,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,638,/task/320041/5/asset/plane.jpg,,,f,image-keyboard-response,6,39716,0.0-1.1-1.2,,,test,,,,0.0808
8,1644855271449,14/02/2022 16:14:31,1644855271368,1,14/02/2022 17:14:31,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,7,39823,0.0-1.1-0.3,,,,,,,
9,1644855272932,14/02/2022 16:14:32,1644855272875,1,14/02/2022 17:14:32,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,481.0000000000073,/task/320041/5/asset/plane.jpg,,,f,image-keyboard-response,8,41329,0.0-1.1-1.3,,,test,,1.05,,0.1077
10,1644855273028,14/02/2022 16:14:33,1644855272981,1,14/02/2022 17:14:32,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,9,41436,0.0-1.2-0.4,,,,,,,
11,1644855274561,14/02/2022 16:14:34,1644855274487,1,14/02/2022 17:14:34,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,/task/320041/5/asset/plane.jpg,,,f,image-keyboard-response,10,42942,0.0-1.2-1.4,,,test,,0.525,,0.13456666666666667
12,1644855274762,14/02/2022 16:14:34,1644855274693,1,14/02/2022 17:14:34,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,"<span style=""color:red;font-size:50px;font-weight: bold;"">FOUT!</span>",,,,html-keyboard-response,11,43148,0.0-1.2-2.4-0.4,,,,,,,
13,1644855274858,14/02/2022 16:14:34,1644855274798,1,14/02/2022 17:14:34,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,12,43253,0.0-1.2-0.5,,,,,,,
14,1644855276373,14/02/2022 16:14:36,1644855276305,1,14/02/2022 17:14:36,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,/task/320041/5/asset/glass.jpg,,,j,image-keyboard-response,13,44759,0.0-1.2-1.5,,,test,,0.3,,0.16486666666666666
15,1644855276575,14/02/2022 16:14:36,1644855276510,1,14/02/2022 17:14:36,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,"<span style=""color:red;font-size:50px;font-weight: bold;"">FOUT!</span>",,,,html-keyboard-response,14,44965,0.0-1.2-2.5-0.5,,,,,,,
16,1644855276670,14/02/2022 16:14:36,1644855276615,1,14/02/2022 17:14:36,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,15,45070,0.0-1.3-0.6,,,,,,,
17,1644855279817,14/02/2022 16:14:39,1644855277652,1,14/02/2022 17:14:37,73265,15,task-yesg,,19433832,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Pics_Only_Dutch,5,Part 1 completed,,Accuracy_level_1,689,/task/320041/5/asset/glass.jpg,,,j,image-keyboard-response,18,46107,0.0-1.3-1.7,,,test,,0.2916666666666667,,0.18731666666666666
