Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,match,phase,correct_resp,prop_correct,accuracy_color_trial,minutes
1,1645127500924,17/02/2022 19:51:40,1645127500844,1,17/02/2022 20:51:40,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,15751,,,,,instructions,0,15754,0.0-0.0,,,,,,,
2,1645127501028,17/02/2022 19:51:41,1645127500950,1,17/02/2022 20:51:40,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,1,15859,0.0-1.0-0.0,,,,,,,
3,1645127502488,17/02/2022 19:51:42,1645127502455,1,17/02/2022 20:51:42,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,/task/320040/6/asset/pink.png,,,,image-keyboard-response,2,17364,0.0-1.0-1.0,,,test,,1.3,1,0.02685
4,1645127502602,17/02/2022 19:51:42,1645127502560,1,17/02/2022 20:51:42,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,3,17470,0.0-1.0-0.1,,,,,,,
5,1645127504123,17/02/2022 19:51:44,1645127504070,1,17/02/2022 20:51:44,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,/task/320040/6/asset/black.png,,,,image-keyboard-response,4,18974,0.0-1.0-1.1,,,test,,0.8666666666666667,1,0.053766666666666664
6,1645127504316,17/02/2022 19:51:44,1645127504174,1,17/02/2022 20:51:44,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,5,19084,0.0-1.0-0.2,,,,,,,
7,1645127505734,17/02/2022 19:51:45,1645127505679,1,17/02/2022 20:51:45,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,/task/320040/6/asset/red.png,,,,image-keyboard-response,6,20589,0.0-1.0-1.2,,,test,,0.78,1,0.08058333333333334
8,1645127505816,17/02/2022 19:51:45,1645127505783,1,17/02/2022 20:51:45,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,7,20693,0.0-1.0-0.3,,,,,,,
9,1645127507332,17/02/2022 19:51:47,1645127507296,1,17/02/2022 20:51:47,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,375,/task/320040/6/asset/red.png,,,,image-keyboard-response,8,22206,0.0-1.0-1.3,,1,test, ,0.7428571428571429,1,0.10753333333333333
10,1645127507441,17/02/2022 19:51:47,1645127507401,1,17/02/2022 20:51:47,73265,15,task-nzlp,,19550015,BLIND,5789048,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x862,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,9,22311,0.0-1.0-0.4,,,,,,,
