Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,match,phase,correct_resp,prop_correct,accuracy_color_trial,minutes
1,1644937121736,15/02/2022 14:58:41,1644937126873,1,15/02/2022 15:58:46,73265,15,task-59ft,,19463539,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,5352.9000000003725,,,,,instructions,0,5364,0.0-0.0,,,,,,,
2,1644937121867,15/02/2022 14:58:41,1644937127015,1,15/02/2022 15:58:47,73265,15,task-59ft,,19463539,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,1,5507,0.0-1.0-0.0,,,,,,,
3,1644937123321,15/02/2022 14:58:43,1644937128531,1,15/02/2022 15:58:48,73265,15,task-59ft,,19463539,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,/task/320040/6/asset/red.png,,,,image-keyboard-response,2,7021,0.0-1.0-1.0,,,test,,1.3,1,0.02765
4,1644937123415,15/02/2022 14:58:43,1644937128644,1,15/02/2022 15:58:48,73265,15,task-59ft,,19463539,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,3,7137,0.0-1.0-0.1,,,,,,,
5,1644937125408,15/02/2022 14:58:45,1644937130156,1,15/02/2022 15:58:50,73265,15,task-59ft,,19463539,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,/task/320040/6/asset/black.png,,,,image-keyboard-response,4,8648,0.0-1.0-1.1,,,test,,0.8666666666666667,1,0.054733333333333335
6,1644937125517,15/02/2022 14:58:45,1644937130267,1,15/02/2022 15:58:50,73265,15,task-59ft,,19463539,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,5,8760,0.0-1.0-0.2,,,,,,,
7,1644937126577,15/02/2022 14:58:46,1644937131774,1,15/02/2022 15:58:51,73265,15,task-59ft,,19463539,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,/task/320040/6/asset/blue.png,,,,image-keyboard-response,6,10267,0.0-1.0-1.2,,,test,,0.78,1,0.0817
8,1644937126658,15/02/2022 14:58:46,1644937131886,1,15/02/2022 15:58:51,73265,15,task-59ft,,19463539,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,7,10379,0.0-1.0-0.3,,,,,,,
9,1644937128190,15/02/2022 14:58:48,1644937133401,1,15/02/2022 15:58:53,73265,15,task-59ft,,19463539,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,370.5,/task/320040/6/asset/blue.png,,,,image-keyboard-response,8,11893,0.0-1.0-1.3,,1,test, ,0.7428571428571429,1,0.10881666666666667
10,1644937128314,15/02/2022 14:58:48,1644937133511,1,15/02/2022 15:58:53,73265,15,task-59ft,,19463539,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,9,12003,0.0-1.0-0.4,,,,,,,
11,1644937129814,15/02/2022 14:58:49,1644937135023,1,15/02/2022 15:58:55,73265,15,task-59ft,,19463539,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,/task/320040/6/asset/pink.png,,,,image-keyboard-response,10,13515,0.0-1.0-1.4,,,test,,0.7222222222222222,1,0.13585
12,1644937129913,15/02/2022 14:58:49,1644937135134,1,15/02/2022 15:58:55,73265,15,task-59ft,,19463539,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,11,13627,0.0-1.0-0.5,,,,,,,
13,1644937131425,15/02/2022 14:58:51,1644937136643,1,15/02/2022 15:58:56,73265,15,task-59ft,,19463539,BLIND,5768707,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14324.80.0,Chrome 97.0.4692.102,1080x675,1620x786,Part 1 completed,Colors_Only_Dutch,6,Part 1 completed,,Accuracy_level_1,404.7999999988824,/task/320040/6/asset/pink.png,,,,image-keyboard-response,12,15135,0.0-1.0-1.5,,1,test, ,0.7090909090909091,1,0.16285
