Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
1,1644855056117,14/02/2022 16:10:56,1644855056997,1,14/02/2022 17:10:56,73265,15,task-jmi7,,19433734,BLIND,5767780,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1536x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1644855057540,14/02/2022 16:10:57,1644855058427,1,14/02/2022 17:10:58,73265,15,task-jmi7,,19433734,BLIND,5767780,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1404.8999999910593,,,,,0,1,0,,,,,,instructions,,,
3,1644855067511,14/02/2022 16:11:07,1644855068429,1,14/02/2022 17:11:08,73265,15,task-jmi7,,19433734,BLIND,5767780,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,30,1,1,Screen 1,Zone1,timelimit_screen,9998.918,,,,,0,1,0,,,1,,1,demonstration,10000,250,
4,1644855067795,14/02/2022 16:11:07,1644855068740,1,14/02/2022 17:11:08,73265,15,task-jmi7,,19433734,BLIND,5767780,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,30,1,2,Screen 2,advancementZone,response_keyboard_single,306.6000000089407,,,spacebar,1,0,1,0,,,,,1,demonstration,10000,250,
5,1644855068823,14/02/2022 16:11:08,1644855069735,1,14/02/2022 17:11:09,73265,15,task-jmi7,,19433734,BLIND,5767780,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,30,1,3,Screen 3,advancementZone,timelimit_screen,999.9789999999994,,,,,0,1,0,,,1,,1,demonstration,10000,250,
6,1644855069043,14/02/2022 16:11:09,1644855069985,1,14/02/2022 17:11:09,73265,15,task-jmi7,,19433734,BLIND,5767780,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,30,1,5,end,Zone1,timelimit_screen,250.03499999999985,,,,,0,1,0,,,1,,1,demonstration,10000,250,
7,1644855077039,14/02/2022 16:11:17,1644855077985,1,14/02/2022 17:11:17,73265,15,task-jmi7,,19433734,BLIND,5767780,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,28,2,1,Screen 1,Zone1,timelimit_screen,7998.983,,,,,0,1,0,,,1,,1,demonstration,8000,250,
8,1644855077335,14/02/2022 16:11:17,1644855078277,1,14/02/2022 17:11:18,73265,15,task-jmi7,,19433734,BLIND,5767780,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,28,2,2,Screen 2,advancementZone,response_keyboard_single,286.70000000298023,,,spacebar,1,0,1,0,,,,,1,demonstration,8000,250,
9,1644855078320,14/02/2022 16:11:18,1644855079267,1,14/02/2022 17:11:19,73265,15,task-jmi7,,19433734,BLIND,5767780,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,28,2,3,Screen 3,advancementZone,timelimit_screen,999.6539999999986,,,,,0,1,0,,,1,,1,demonstration,8000,250,
10,1644855078581,14/02/2022 16:11:18,1644855079517,1,14/02/2022 17:11:19,73265,15,task-jmi7,,19433734,BLIND,5767780,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,28,2,5,end,Zone1,timelimit_screen,249.9910000000018,,,,,0,1,0,,,1,,1,demonstration,8000,250,
11,1644855084571,14/02/2022 16:11:24,1644855085517,1,14/02/2022 17:11:25,73265,15,task-jmi7,,19433734,BLIND,5767780,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,37,3,1,Screen 1,Zone1,timelimit_screen,5999.124,,,,,0,1,0,,,1,,1,demonstration,6000,250,
12,1644855084865,14/02/2022 16:11:24,1644855085804,1,14/02/2022 17:11:25,73265,15,task-jmi7,,19433734,BLIND,5767780,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,37,3,2,Screen 2,advancementZone,response_keyboard_single,281,,,spacebar,1,0,1,0,,,,,1,demonstration,6000,250,
13,1644855085852,14/02/2022 16:11:25,1644855086800,1,14/02/2022 17:11:26,73265,15,task-jmi7,,19433734,BLIND,5767780,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,37,3,3,Screen 3,advancementZone,timelimit_screen,1000.0010000000002,,,,,0,1,0,,,1,,1,demonstration,6000,250,
