Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
1,1647697186518,19/03/2022 13:39:46,1647697186432,1,19/03/2022 14:39:46,73265,15,task-1lhj,,20556735,BLIND,6094733,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Safari 13.0.5,1280x800,1277x673,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1647697198628,19/03/2022 13:39:58,1647697198582,1,19/03/2022 14:39:58,73265,15,task-1lhj,,20556735,BLIND,6094733,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Safari 13.0.5,1280x800,1277x673,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,12082,,,,,0,1,0,,,,,,instructions,,,
3,1647697205618,19/03/2022 13:40:05,1647697205575,1,19/03/2022 14:40:05,73265,15,task-1lhj,,20556735,BLIND,6094733,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Safari 13.0.5,1280x800,1277x673,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,21,1,1,Screen 1,Zone1,timelimit_screen,7007,,,,,0,1,0,,,1,,1,demonstration,7000,250,
4,1647697206022,19/03/2022 13:40:06,1647697205990,1,19/03/2022 14:40:05,73265,15,task-1lhj,,20556735,BLIND,6094733,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Safari 13.0.5,1280x800,1277x673,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,21,1,2,Screen 2,advancementZone,response_keyboard_single,407,,,spacebar,1,0,1,0,,,,,1,demonstration,7000,250,
5,1647697207015,19/03/2022 13:40:07,1647697206983,1,19/03/2022 14:40:06,73265,15,task-1lhj,,20556735,BLIND,6094733,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Safari 13.0.5,1280x800,1277x673,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,21,1,3,Screen 3,advancementZone,timelimit_screen,1001,,,,,0,1,0,,,1,,1,demonstration,7000,250,
6,1647697207277,19/03/2022 13:40:07,1647697207233,1,19/03/2022 14:40:07,73265,15,task-1lhj,,20556735,BLIND,6094733,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Safari 13.0.5,1280x800,1277x673,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,21,1,5,end,Zone1,timelimit_screen,250,,,,,0,1,0,,,1,,1,demonstration,7000,250,
7,1647697208265,19/03/2022 13:40:08,1647697208237,1,19/03/2022 14:40:08,73265,15,task-1lhj,,20556735,BLIND,6094733,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Safari 13.0.5,1280x800,1277x673,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,23,2,1,Screen 1,Zone1,timelimit_screen,1003,,,,,0,1,0,,,1,,1,demonstration,1000,250,
8,1647697208953,19/03/2022 13:40:08,1647697208924,1,19/03/2022 14:40:08,73265,15,task-1lhj,,20556735,BLIND,6094733,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Safari 13.0.5,1280x800,1277x673,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,23,2,2,Screen 2,advancementZone,response_keyboard_single,677,,,spacebar,1,0,1,0,,,,,1,demonstration,1000,250,
9,1647697209940,19/03/2022 13:40:09,1647697209921,1,19/03/2022 14:40:09,73265,15,task-1lhj,,20556735,BLIND,6094733,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Safari 13.0.5,1280x800,1277x673,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,23,2,3,Screen 3,advancementZone,timelimit_screen,1001,,,,,0,1,0,,,1,,1,demonstration,1000,250,
10,1647697210198,19/03/2022 13:40:10,1647697210171,1,19/03/2022 14:40:10,73265,15,task-1lhj,,20556735,BLIND,6094733,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.3,Safari 13.0.5,1280x800,1277x673,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,23,2,5,end,Zone1,timelimit_screen,250,,,,,0,1,0,,,1,,1,demonstration,1000,250,
