Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,match,phase,correct_resp,prop_correct,accuracy_color_trial,minutes
1,1644855716438,14/02/2022 16:21:56,1644855703684,1,14/02/2022 17:21:43,73265,15,task-snpf,,19434145,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1280x720,1280x601,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,32656.5,,,,,instructions,0,32663,0.0-0.0,,,,,,,
2,1644855716530,14/02/2022 16:21:56,1644855703802,1,14/02/2022 17:21:43,73265,15,task-snpf,,19434145,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1280x720,1280x601,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,1,32780,0.0-1.0-0.0,,,,,,,
3,1644855718191,14/02/2022 16:21:58,1644855705307,1,14/02/2022 17:21:45,73265,15,task-snpf,,19434145,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1280x720,1280x601,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,1090.3999998569489,/task/320041/5/asset/plane.jpg,,,f,image-keyboard-response,2,34285,0.0-1.0-1.0,,,test,,-0.175,,0.02705
4,1644855718264,14/02/2022 16:21:58,1644855705413,1,14/02/2022 17:21:45,73265,15,task-snpf,,19434145,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1280x720,1280x601,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,3,34392,0.0-1.0-0.1,,,,,,,
5,1644855719618,14/02/2022 16:21:59,1644855706916,1,14/02/2022 17:21:46,73265,15,task-snpf,,19434145,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1280x720,1280x601,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,/task/320041/5/asset/key.png,,,j,image-keyboard-response,4,35894,0.0-1.0-1.1,,,test,,-0.35,,0.05386666666666667
6,1644855719717,14/02/2022 16:21:59,1644855707032,1,14/02/2022 17:21:47,73265,15,task-snpf,,19434145,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1280x720,1280x601,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,5,36011,0.0-1.1-0.2,,,,,,,
7,1644855721248,14/02/2022 16:22:01,1644855708537,1,14/02/2022 17:21:48,73265,15,task-snpf,,19434145,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1280x720,1280x601,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,754.6999998092651,/task/320041/5/asset/elephant.jpg,,,f,image-keyboard-response,6,37515,0.0-1.1-1.2,,,test,,,,0.08088333333333333
8,1644855721353,14/02/2022 16:22:01,1644855708668,1,14/02/2022 17:21:48,73265,15,task-snpf,,19434145,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1280x720,1280x601,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,7,37647,0.0-1.1-0.3,,,,,,,
9,1644855722878,14/02/2022 16:22:02,1644855710172,1,14/02/2022 17:21:50,73265,15,task-snpf,,19434145,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1280x720,1280x601,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,823.2999999523163,/task/320041/5/asset/comb.jpg,,,j,image-keyboard-response,8,39151,0.0-1.1-1.3,,,test,,1.05,,0.10813333333333333
10,1644855722962,14/02/2022 16:22:02,1644855710276,1,14/02/2022 17:21:50,73265,15,task-snpf,,19434145,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1280x720,1280x601,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,9,39255,0.0-1.2-0.4,,,,,,,
11,1644855724487,14/02/2022 16:22:04,1644855711781,1,14/02/2022 17:21:51,73265,15,task-snpf,,19434145,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1280x720,1280x601,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,499.7999999523163,/task/320041/5/asset/elephant.jpg,,,f,image-keyboard-response,10,40759,0.0-1.2-1.4,,,test,,0.7,,0.13495
12,1644855724572,14/02/2022 16:22:04,1644855711884,1,14/02/2022 17:21:51,73265,15,task-snpf,,19434145,BLIND,5767834,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1280x720,1280x601,Part 1 completed,Pics_Only_Dutch,5,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,11,40863,0.0-1.2-0.5,,,,,,,
