Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
1,1644866606955,14/02/2022 19:23:26,1644866607369,1,14/02/2022 20:23:27,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1368x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,BEGIN QUESTIONNAIRE,
2,1644866675859,14/02/2022 19:24:35,1644866676130,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,0,10
3,1644866675993,14/02/2022 19:24:35,1644866676131,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,1,7
4,1644866675993,14/02/2022 19:24:35,1644866676131,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,2,7
5,1644866675993,14/02/2022 19:24:35,1644866676132,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,3,6
6,1644866675993,14/02/2022 19:24:35,1644866676132,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,4,7
7,1644866675993,14/02/2022 19:24:35,1644866676133,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,5,6
8,1644866675993,14/02/2022 19:24:35,1644866676134,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,6,3
9,1644866675993,14/02/2022 19:24:35,1644866676134,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,7,3
10,1644866675993,14/02/2022 19:24:35,1644866676134,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,8,3
11,1644866675993,14/02/2022 19:24:35,1644866676134,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,9,1
12,1644866675993,14/02/2022 19:24:35,1644866676134,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,10,6
13,1644866675993,14/02/2022 19:24:35,1644866676135,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,11,1
14,1644866675993,14/02/2022 19:24:35,1644866676135,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,12,7
15,1644866675993,14/02/2022 19:24:35,1644866676135,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,13,7
16,1644866675993,14/02/2022 19:24:35,1644866676135,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,0-quantised,11
17,1644866675993,14/02/2022 19:24:35,1644866676135,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,1-quantised,8
18,1644866675993,14/02/2022 19:24:35,1644866676135,1,14/02/2022 20:24:36,73265,15,questionnaire-krgc,,19440661,BLIND,5769634,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1368x912,1351x782,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,2-quantised,8
