Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
1,1644955770708,15/02/2022 20:09:30,1644955770638,1,15/02/2022 21:09:30,73265,15,questionnaire-zkqn,,19476412,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,BEGIN QUESTIONNAIRE,
2,1644955811206,15/02/2022 20:10:11,1644955811122,1,15/02/2022 21:10:11,73265,15,questionnaire-zkqn,,19476412,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,0,7
3,1644955811284,15/02/2022 20:10:11,1644955811124,1,15/02/2022 21:10:11,73265,15,questionnaire-zkqn,,19476412,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,1,4
4,1644955811284,15/02/2022 20:10:11,1644955811124,1,15/02/2022 21:10:11,73265,15,questionnaire-zkqn,,19476412,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,2,3
5,1644955811284,15/02/2022 20:10:11,1644955811124,1,15/02/2022 21:10:11,73265,15,questionnaire-zkqn,,19476412,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,3,2
6,1644955811284,15/02/2022 20:10:11,1644955811124,1,15/02/2022 21:10:11,73265,15,questionnaire-zkqn,,19476412,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,4,2
7,1644955811284,15/02/2022 20:10:11,1644955811124,1,15/02/2022 21:10:11,73265,15,questionnaire-zkqn,,19476412,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,5,0
8,1644955811284,15/02/2022 20:10:11,1644955811125,1,15/02/2022 21:10:11,73265,15,questionnaire-zkqn,,19476412,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,6,0
9,1644955811284,15/02/2022 20:10:11,1644955811125,1,15/02/2022 21:10:11,73265,15,questionnaire-zkqn,,19476412,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,7,0
10,1644955811284,15/02/2022 20:10:11,1644955811125,1,15/02/2022 21:10:11,73265,15,questionnaire-zkqn,,19476412,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,8,2
